Size, Type, Time
100, "Sequential", 0.000008
100, "Parallel", 0.004124
100, "Built-in", 0.000013
1000, "Sequential", 0.000117
1000, "Parallel", 0.069054
1000, "Built-in", 0.000128
10000, "Sequential", 0.001463
10000, "Parallel", 0.286331
10000, "Built-in", 0.001475
100000, "Sequential", 0.017855
100000, "Parallel", 0.650080
100000, "Built-in", 0.018836
1000000, "Sequential", 0.208257
1000000, "Parallel", 0.121176
1000000, "Built-in", 0.222801
100, "Sequential", 0.000008
100, "Parallel", 0.003923
100, "Built-in", 0.000012
1000, "Sequential", 0.000119
1000, "Parallel", 0.021563
1000, "Built-in", 0.000132
10000, "Sequential", 0.001700
10000, "Parallel", 0.369369
10000, "Built-in", 0.001555
100000, "Sequential", 0.017716
100000, "Parallel", 0.753076
100000, "Built-in", 0.018819
1000000, "Sequential", 0.206495
1000000, "Parallel", 0.113514
1000000, "Built-in", 0.230450
100, "Sequential", 0.000008
100, "Parallel", 0.003748
100, "Built-in", 0.000013
1000, "Sequential", 0.000115
1000, "Parallel", 0.097496
1000, "Built-in", 0.000129
10000, "Sequential", 0.001550
10000, "Parallel", 0.238682
10000, "Built-in", 0.001541
100000, "Sequential", 0.021953
100000, "Parallel", 0.706474
100000, "Built-in", 0.019003
1000000, "Sequential", 0.209453
1000000, "Parallel", 0.095927
1000000, "Built-in", 0.223116
100, "Sequential", 0.000009
100, "Parallel", 0.003429
100, "Built-in", 0.000022
1000, "Sequential", 0.000105
1000, "Parallel", 0.019126
1000, "Built-in", 0.000128
10000, "Sequential", 0.001449
10000, "Parallel", 0.387140
10000, "Built-in", 0.001534
100000, "Sequential", 0.017579
100000, "Parallel", 0.728286
100000, "Built-in", 0.018910
1000000, "Sequential", 0.209426
1000000, "Parallel", 0.091218
1000000, "Built-in", 0.227906
100, "Sequential", 0.000008
100, "Parallel", 0.003597
100, "Built-in", 0.000012
1000, "Sequential", 0.000108
1000, "Parallel", 0.084119
1000, "Built-in", 0.000125
10000, "Sequential", 0.001493
10000, "Parallel", 0.295230
10000, "Built-in", 0.001513
100000, "Sequential", 0.018143
100000, "Parallel", 0.635989
100000, "Built-in", 0.018894
1000000, "Sequential", 0.210324
1000000, "Parallel", 0.155139
